PACKET_NUMBER,PACKET_STATUS,DOC_ID,DOC_STATUS,DOC_TYPE,DOC_TYPE_EM,DOC_TYPE_DESCRIPTION,CONTROL_POINT,EVENT_NOTE,EVENT_NOTE_OUTCOME,INVOICING_STATUS,CHARGEABLE,COMPLEXITY,PROCESSING_DATE,MONTH,YEAR,BILLING_CYCLE,BATCH_ID,LAST_UPDTED_DATE,DOC_CLASSIFICATION_CODE,EVENT_NOTES
21904218,OFF RAMPED,1973167,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 21904218 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21904218 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21904218 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/22/2020,9,2020,OP2,191,9/22/20 12:22,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
21902532,OFF RAMPED,1977154,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,Outcome : Packet Routed to RMC Queue,Outcome : Packet Routed to RMC Queue,Outcome : Packet Routed to RMC Queue,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/22/2020,9,2020,OP2,191,9/22/20 12:32,FOIA_PRIVACYACT,Unsuccessful Processing in VBMS - Packet Offramped
21902883,OFF RAMPED,1977379,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 21902883 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21902883 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21902883 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/22/2020,9,2020,OP2,191,9/22/20 12:31,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
21903007,OFF RAMPED,1977465,OCRSUCCESS,EVD-COR,EVD-COR,Correspondence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/22/2020,9,2020,OP2,191,9/22/20 0:09,UNKNOWN,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence
10158380,OFF RAMPED,1981366,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10158380 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10158380 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10158380 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/22/2020,9,2020,OP2,191,9/22/20 10:25,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10158842,REVIEWED,1981873,HIL_VBMS,EVD-TPC,EVD-TPC,Third Party Correspondence,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/22/2020,9,2020,OP2,191,9/22/20 10:40,UNKNOWN,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile
10161226,PROCESSED,1983263,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/22/2020,9,2020,OP2,191,9/22/20 11:42,UNKNOWN,Process Packet - Packet Processed
10160823,OFF RAMPED,1983327,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 10160823 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10160823 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10160823 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/22/2020,9,2020,OP2,191,9/22/20 11:42,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10160661,REVIEWED,1983345,HIL_VBMS,EVD-COR,EVD-COR,Correspondence,Final Exception Reason: Business Exception The Veteran profile name did not match. (Attempt #0),Final Exception Reason: Business Exception The Veteran profile name did not match. (Attempt #0),Final Exception Reason: Business Exception The Veteran profile name did not match. (Attempt #0),PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/22/2020,9,2020,OP2,191,9/22/20 11:18,UNKNOWN,Perform Record Matching - Name Not Matched via Name Compare Algorithm
10160667,OFF RAMPED,1983395,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10160667 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10160667 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10160667 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/22/2020,9,2020,OP2,191,9/22/20 11:43,BVA_APPEALS_REMAND,Unsuccessful Processing in VBMS - Packet Offramped
