PACKET_NUMBER,PACKET_STATUS,DOC_ID,DOC_STATUS,DOC_TYPE,DOC_TYPE_EM,DOC_TYPE_DESCRIPTION,CONTROL_POINT,EVENT_NOTE,EVENT_NOTE_OUTCOME,INVOICING_STATUS,CHARGEABLE,COMPLEXITY,PROCESSING_DATE,MONTH,YEAR,BILLING_CYCLE,BATCH_ID,LAST_UPDTED_DATE,DOC_CLASSIFICATION_CODE,
10100542,PROCESSED,1892332,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/12/2020,9,2020,OP2,188,9/12/20 11:01,UNKNOWN,Process Packet - Packet Processed
10100203,OFF RAMPED,1892366,VBOTPROCESSING,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10100203 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10100203 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10100203 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/12/2020,9,2020,OP2,188,9/12/20 5:49,BVA_APPEALS_REMAND,"Off Ramping CM Packet Num: 10100203 because of a classification of BVA Appeals Remand, and no active claims on profile."
10100581,PROCESSED,1892466,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/12/2020,9,2020,OP2,188,9/12/20 11:10,BVA_APPEALS_REMAND,Process Packet - Packet Processed
10100285,PROCESSED,1892568,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/12/2020,9,2020,OP2,188,9/12/20 13:26,UNKNOWN,Process Packet - Packet Processed
10100195,PROCESSED,1892902,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/12/2020,9,2020,OP2,188,9/12/20 12:00,BVA_APPEALS_REMAND,Process Packet - Packet Processed
10101452,PROCESSED,1893268,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/12/2020,9,2020,OP2,188,9/12/20 12:42,MEDICAL_EVIDENCE,Process Packet - Packet Processed
10101458,OFF RAMPED,1893368,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,Outcome : Packet Routed to RMC Queue,Outcome : Packet Routed to RMC Queue,Outcome : Packet Routed to RMC Queue,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/12/2020,9,2020,OP2,188,9/12/20 12:42,FOIA_PRIVACYACT,Unsuccessful Processing in VBMS - Packet Offramped
10101470,PROCESSED,1893402,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/12/2020,9,2020,OP2,188,9/12/20 12:47,FOIA_PRIVACYACT,Process Packet - Packet Processed
10101451,OFF RAMPED,1893453,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 10101451 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10101451 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10101451 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/12/2020,9,2020,OP2,188,9/12/20 12:51,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10101514,PROCESSED,1893538,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/12/2020,9,2020,OP2,188,9/12/20 13:49,UNKNOWN,Process Packet - Packet Processed
10102155,OFF RAMPED,1893953,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 10102155 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10102155 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10102155 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/12/2020,9,2020,OP2,188,9/12/20 13:31,BVA_APPEALS_REMAND,Unsuccessful Processing in VBMS - Packet Offramped
21844324,PROCESSED,1894338,PROCESSED,RM,RM,Returned Mail,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Medium,9/12/2020,9,2020,OP2,188,9/12/20 16:18,ESS,Process Packet - Packet Processed
21844544,PROCESSED,1894538,PROCESSED,RM,RM,Returned Mail,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Medium,9/12/2020,9,2020,OP2,188,9/12/20 17:19,ESS,Process Packet - Packet Processed
21845638,OFF RAMPED,1894589,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 21845638 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21845638 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21845638 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/12/2020,9,2020,OP2,188,9/12/20 16:47,BVA_APPEALS_REMAND,Unsuccessful Processing in VBMS - Packet Offramped
21844339,PROCESSED,1894623,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/12/2020,9,2020,OP2,188,9/12/20 16:50,UNKNOWN,Process Packet - Packet Processed
21845289,OFF RAMPED,1894740,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 21845289 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21845289 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21845289 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/12/2020,9,2020,OP2,188,9/12/20 17:00,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
21844852,PROCESSED,1894725,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/12/2020,9,2020,OP2,188,9/12/20 17:04,UNKNOWN,Process Packet - Packet Processed
21844381,PROCESSED,1894823,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/12/2020,9,2020,OP2,188,9/12/20 17:08,UNKNOWN,Process Packet - Packet Processed
21845493,OFF RAMPED,1894874,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 21845493 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21845493 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21845493 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/12/2020,9,2020,OP2,188,9/12/20 17:08,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
