PACKET_NUMBER,PACKET_STATUS,DOC_ID,DOC_STATUS,DOC_TYPE,DOC_TYPE_EM,DOC_TYPE_DESCRIPTION,CONTROL_POINT,EVENT_NOTE,EVENT_NOTE_OUTCOME,INVOICING_STATUS,CHARGEABLE,COMPLEXITY,PROCESSING_DATE,MONTH,YEAR,BILLING_CYCLE,BATCH_ID,LAST_UPDTED_DATE,DOC_CLASSIFICATION_CODE,EVENT_NOTES
10503759,OFF RAMPED,2607044,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 10503759 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10503759 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10503759 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,11/6/2020,11,2020,OP2,219,11/6/20 11:47,BVA_APPEALS_REMAND,Unsuccessful Processing in VBMS - Packet Offramped
10504458,OFF RAMPED,2607644,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,11/6/2020,11,2020,OP2,219,11/7/20 1:39,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10504579,OFF RAMPED,2607763,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10504579 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10504579 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10504579 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,11/6/2020,11,2020,OP2,219,11/6/20 11:58,BVA_APPEALS_REMAND,Unsuccessful Processing in VBMS - Packet Offramped
10493721,OFF RAMPED,2607776,OCRSUCCESS,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,11/6/2020,11,2020,OP2,219,11/6/20 5:02,BVA_APPEALS_REMAND,Add Document - Document Added
10504567,PROCESSED,2607861,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,11/6/2020,11,2020,OP2,219,11/6/20 12:08,STATUS_REQUEST,Process Packet - Packet Processed
10504963,PROCESSED,2607912,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,11/6/2020,11,2020,OP2,220,11/6/20 12:01,UNKNOWN,Process Packet - Packet Processed
10504979,OFF RAMPED,2607980,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,11/6/2020,11,2020,OP2,220,11/6/20 12:02,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10505752,PROCESSED,2608027,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,11/6/2020,11,2020,OP2,220,11/6/20 12:07,UNKNOWN,Process Packet - Packet Processed
10505142,PROCESSED,2608095,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,11/6/2020,11,2020,OP2,220,11/6/20 12:06,STATUS_REQUEST,Process Packet - Packet Processed
10505240,PROCESSED,2608197,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,11/6/2020,11,2020,OP2,220,11/6/20 12:17,STATUS_REQUEST,Process Packet - Packet Processed
