PACKET_NUMBER,PACKET_STATUS,DOC_ID,DOC_STATUS,DOC_TYPE,DOC_TYPE_EM,DOC_TYPE_DESCRIPTION,CONTROL_POINT,EVENT_NOTE,EVENT_NOTE_OUTCOME,INVOICING_STATUS,CHARGEABLE,COMPLEXITY,PROCESSING_DATE,MONTH,YEAR,BILLING_CYCLE,BATCH_ID,LAST_UPDTED_DATE,DOC_CLASSIFICATION_CODE,
10027497,OFF RAMPED,1812544,PENDING UPLOAD,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/2/2020,9,2020,OP2,185,9/2/20 16:52,COMPETENCY_ISSUE,Process Document - Document Processed
10027652,OFF RAMPED,1812914,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10027652 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10027652 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10027652 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/2/2020,9,2020,OP2,185,9/2/20 10:13,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10028831,PROCESSED,1813807,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/2/2020,9,2020,OP2,185,9/2/20 10:22,UNKNOWN,Process Packet - Packet Processed
10029410,PROCESSED,1813814,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/2/2020,9,2020,OP2,185,9/2/20 10:25,UNKNOWN,Process Packet - Packet Processed
10029036,PROCESSED,1814114,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/2/2020,9,2020,OP2,185,9/2/20 10:28,UNKNOWN,Process Packet - Packet Processed
10029112,PROCESSED,1814250,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/2/2020,9,2020,OP2,185,9/2/20 10:32,BVA_APPEALS_REMAND,Process Packet - Packet Processed
10029225,OFF RAMPED,1814273,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10029225 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10029225 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10029225 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/2/2020,9,2020,OP2,185,9/2/20 10:30,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10029427,PROCESSED,1814450,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Contentions,Contentions Added,Add Contentions - Contentions Added,PROCESSED,CHARGEABLE,Low,9/2/2020,9,2020,OP2,185,9/2/20 10:37,VERIFICATION_REQUEST,Process Packet - Packet Processed
10029633,OFF RAMPED,1814543,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 10029633 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10029633 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10029633 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/2/2020,9,2020,OP2,185,9/2/20 12:04,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10029699,PROCESSED,1814550,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/2/2020,9,2020,OP2,185,9/2/20 12:10,STATUS_REQUEST,Process Packet - Packet Processed
