PACKET_NUMBER,PACKET_STATUS,DOC_ID,DOC_STATUS,DOC_TYPE,DOC_TYPE_EM,DOC_TYPE_DESCRIPTION,CONTROL_POINT,EVENT_NOTE,EVENT_NOTE_OUTCOME,INVOICING_STATUS,CHARGEABLE,COMPLEXITY,PROCESSING_DATE,MONTH,YEAR,BILLING_CYCLE,BATCH_ID,LAST_UPDTED_DATE,DOC_CLASSIFICATION_CODE,EVENT_NOTES
22158432,OFF RAMPED,2529936,PENDING UPLOAD,EVD-COR,EVD-COR,Correspondence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,11/1/2020,11,2020,OP2,217,11/1/20 15:11,VERIFICATION_REQUEST,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence
10463683,OFF RAMPED,2532708,OCRSUCCESS,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,11/1/2020,11,2020,OP2,217,11/1/20 14:51,UNKNOWN,Add Document - Document Added
10464169,OFF RAMPED,2532701,READYFOROCR,534EZ,534EZ,VA 21-534EZ Application for Dependency and Indemni,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,Low,11/1/2020,11,2020,OP2,217,11/1/20 14:50,NULL,Add Document - Document Added
10446995,OFF RAMPED,2508394,PENDING UPLOAD,526ez,526ez,"VA 21-526EZ, Fully Developed Claim Compensation",Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,11/1/2020,11,2020,OP2,216,11/2/20 1:21,NULL,"Outcome : Business Rule - Open Claim/EP and No Keyword Identified, Successfully Added Unsolicited Evidence, Added Note"
22159553,PROCESSING,2531265,PENDING UPLOAD,845,845,VA 21-0845 Authorization to Disclose Personal Info,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,11/1/2020,11,2020,OP2,217,11/1/20 17:15,NULL,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence
22118536,OFF RAMPED,2444175,PENDING UPLOAD,PMR,Evidence Mail,Medical Treatment Record - Non-Government Facility,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,11/1/2020,11,2020,OP2,215,11/2/20 1:14,NULL,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence
22160441,PROCESSING,2532201,PENDING UPLOAD,VCAA,Evidence Mail,VCAA Notice Acknowledgement,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,11/1/2020,11,2020,OP2,217,11/2/20 1:29,NULL,"Outcome : Business Rule - Open Claim/EP and No Keyword Identified, Successfully Added Unsolicited Evidence, Added Note"
22158267,PROCESSING,2529293,PENDING UPLOAD,966,966,VA 21-0966 Intent to File,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,11/1/2020,11,2020,OP2,217,11/2/20 1:30,NULL,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence
10463683,OFF RAMPED,2532694,OCRSUCCESS,EVD-PBS,Evidence Mail,Pension Bank Statement,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,Low,11/1/2020,11,2020,OP2,217,11/1/20 14:50,NULL,Add Document - Document Added
22158431,PROCESSING,2530186,PENDING UPLOAD,EVD-DC,EVD-DC,Death Certificate,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,11/1/2020,11,2020,OP2,217,11/1/20 17:11,NULL,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence
