PACKET_NUMBER,PACKET_STATUS,DOC_ID,DOC_STATUS,DOC_TYPE,DOC_TYPE_EM,DOC_TYPE_DESCRIPTION,CONTROL_POINT,EVENT_NOTE,EVENT_NOTE_OUTCOME,INVOICING_STATUS,CHARGEABLE,COMPLEXITY,PROCESSING_DATE,MONTH,YEAR,BILLING_CYCLE,BATCH_ID,LAST_UPDTED_DATE,DOC_CLASSIFICATION_CODE,
10123069,OFF RAMPED,1930565,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 10123069 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10123069 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10123069 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 22:09,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10125937,OFF RAMPED,1931466,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10125937 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10125937 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10125937 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 10:26,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10126471,PROCESSED,1931901,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 10:38,UNKNOWN,Process Packet - Packet Processed
10126557,OFF RAMPED,1931952,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10126557 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10126557 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10126557 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 10:40,BVA_APPEALS_REMAND,Unsuccessful Processing in VBMS - Packet Offramped
10126496,PROCESSED,1932016,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 10:49,UNKNOWN,Process Packet - Packet Processed
10125000,OFF RAMPED,1932301,OCRSUCCESS,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 6:05,UNKNOWN,Add Document - Document Added
10126525,OFF RAMPED,1932552,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 10126525 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10126525 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10126525 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 10:44,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10126664,PROCESSED,1932751,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 11:09,UNKNOWN,Process Packet - Packet Processed
10126537,PROCESSED,1932888,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 10:51,BVA_APPEALS_REMAND,Process Packet - Packet Processed
10126254,PROCESSED,1932905,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 10:56,BVA_APPEALS_REMAND,Process Packet - Packet Processed
10127269,PROCESSED,1933623,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 13:59,UNKNOWN,Process Packet - Packet Processed
10127351,OFF RAMPED,1933687,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10127351 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10127351 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10127351 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 14:11,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10127260,PROCESSED,1933674,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 19:37,FOIA_PRIVACYACT,Process Packet - Packet Processed
21871353,OFF RAMPED,1933824,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 21871353 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21871353 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21871353 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 14:47,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
21871323,OFF RAMPED,1933905,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 21871323 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21871323 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21871323 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 22:20,BVA_APPEALS_REMAND,Process Document - Document Processed
21871631,PROCESSED,1934810,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 22:25,MEDICAL_EVIDENCE,Process Packet - Packet Processed
21871832,OFF RAMPED,1935245,OCRSUCCESS,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 17:29,BVA_APPEALS_REMAND,Add Document - Document Added
382483,OFF RAMPED,1935478,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 382483 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 382483 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 382483 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 18:06,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
21872361,OFF RAMPED,1935509,OFFRAMPED,RM,RM,Returned Mail,Final Exception Reason: Business Exception There are no claims open or pending for the profile (Attempt# 0) (Attempt #0),Final Exception Reason: Business Exception There are no claims open or pending for the profile (Attempt# 0) (Attempt #0),Final Exception Reason: Business Exception There are no claims open or pending for the profile (Attempt# 0) (Attempt #0),PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Medium,9/16/2020,9,2020,OP2,189,9/16/20 18:03,ESS,Unsuccessful Processing in VBMS - Packet Offramped
21872390,PROCESSED,1935495,PROCESSED,RM,RM,Returned Mail,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Medium,9/16/2020,9,2020,OP2,189,9/16/20 21:50,ESS,Process Packet - Packet Processed
10126026,REVIEWED,1931481,HIL_VBMS,EVD-TPC,EVD-TPC,Third Party Correspondence,Final Exception Reason: Business Exception The Veteran profile name did not match. (Attempt #2),Final Exception Reason: Business Exception The Veteran profile name did not match. (Attempt #2),Final Exception Reason: Business Exception The Veteran profile name did not match. (Attempt #2),PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 22:10,VERIFICATION_REQUEST,Perform Record Matching - Name Not Matched via Name Compare Algorithm
10125939,OFF RAMPED,1931518,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10125939 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10125939 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10125939 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 10:35,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10126289,OFF RAMPED,1931568,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,HIL Packet Reassigned to Assignment Queue MA-1,HIL Packet Reassigned to Assignment Queue MA-1,HIL Packet Reassigned to Assignment Queue MA-1,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/16/2020,9,2020,OP2,189,9/16/20 18:23,VERIFICATION_REQUEST,Unsuccessful Processing in VBMS - Packet Offramped
