PACKET_NUMBER,PACKET_STATUS,DOC_ID,DOC_STATUS,DOC_TYPE,DOC_TYPE_EM,DOC_TYPE_DESCRIPTION,CONTROL_POINT,EVENT_NOTE,EVENT_NOTE_OUTCOME,INVOICING_STATUS,CHARGEABLE,COMPLEXITY,PROCESSING_DATE,MONTH,YEAR,BILLING_CYCLE,BATCH_ID,LAST_UPDTED_DATE,DOC_CLASSIFICATION_CODE,EVENT_NOTES
10423437,OFF RAMPED,2445899,PENDING UPLOAD,EVD-COR,EVD-COR,Correspondence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,10/28/2020,10,2020,OP2,215,10/28/20 12:49,UNKNOWN,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence
10434965,OFF RAMPED,2469999,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,Outcome : Packet Routed to RMC Queue,Outcome : Packet Routed to RMC Queue,Outcome : Packet Routed to RMC Queue,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,10/28/2020,10,2020,OP2,215,10/28/20 12:28,FOIA_PRIVACYACT,Unsuccessful Processing in VBMS - Packet Offramped
10436695,PROCESSED,2471237,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Contentions,Contentions Added,Add Contentions - Contentions Added,PROCESSED,CHARGEABLE,High,10/28/2020,10,2020,OP2,215,10/28/20 13:06,VERIFICATION_REQUEST,Process Packet - Packet Processed
10437245,OFF RAMPED,2471437,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,10/28/2020,10,2020,OP2,215,10/28/20 13:10,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10437093,OFF RAMPED,2471537,VBOTPROCESSING,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,10/28/2020,10,2020,OP2,215,10/28/20 13:38,BVA_APPEALS_REMAND,Add Document - Document Added
10437295,PROCESSED,2471622,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/28/2020,10,2020,OP2,215,10/28/20 13:17,FOIA_PRIVACYACT,Process Packet - Packet Processed
10437266,OFF RAMPED,2471837,OCRSUCCESS,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,10/28/2020,10,2020,OP2,215,10/28/20 8:38,FOIA_PRIVACYACT,Add Document - Document Added
10426653,OFF RAMPED,2472007,OCRSUCCESS,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,10/28/2020,10,2020,OP2,215,10/28/20 8:40,UNKNOWN,Add Document - Document Added
10436692,OFF RAMPED,2472022,OCRSUCCESS,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,10/28/2020,10,2020,OP2,215,10/28/20 8:41,VERIFICATION_REQUEST,Add Document - Document Added
22132035,PROCESSED,2472773,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/28/2020,10,2020,OP2,215,10/28/20 15:34,FOIA_PRIVACYACT,Process Packet - Packet Processed
22132022,PROCESSED,2473679,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/28/2020,10,2020,OP2,216,10/28/20 17:50,MEDICAL_EVIDENCE,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence
22132386,OFF RAMPED,2473743,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,10/28/2020,10,2020,OP2,216,10/28/20 17:44,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
22132424,OFF RAMPED,2474043,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,10/28/2020,10,2020,OP2,216,10/28/20 17:50,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10438168,PROCESSED,2474130,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/28/2020,10,2020,OP2,216,10/28/20 17:53,UNKNOWN,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence
10438360,OFF RAMPED,2474915,OCRSUCCESS,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,10/28/2020,10,2020,OP2,216,10/28/20 18:41,MEDICAL_EVIDENCE,Add Document - Document Added
22132824,OFF RAMPED,2475230,OCRSUCCESS,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,10/28/2020,10,2020,OP2,216,10/28/20 18:52,MEDICAL_EVIDENCE,Add Document - Document Added
22132630,PROCESSED,2475366,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/28/2020,10,2020,OP2,216,10/28/20 19:18,UNKNOWN,Process Packet - Packet Processed
22132933,PROCESSED,2475417,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/28/2020,10,2020,OP2,216,10/28/20 19:22,UNKNOWN,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence
22133408,PROCESSED,2475615,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/28/2020,10,2020,OP2,216,10/28/20 19:28,BVA_APPEALS_REMAND,Process Packet - Packet Processed
22134831,PROCESSED,2476168,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/28/2020,10,2020,OP2,216,10/28/20 19:55,UNKNOWN,Process Packet - Packet Processed
22135115,PROCESSED,2476602,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/28/2020,10,2020,OP2,216,10/28/20 20:10,UNKNOWN,Process Packet - Packet Processed
22134829,PROCESSED,2476617,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/28/2020,10,2020,OP2,216,10/29/20 0:30,UNKNOWN,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence
10430462,OFF RAMPED,2476904,OCRSUCCESS,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,10/28/2020,10,2020,OP2,216,10/28/20 20:03,UNKNOWN,Add Document - Document Added
10436446,OFF RAMPED,2470933,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,Outcome : Packet Routed to RMC Queue,Outcome : Packet Routed to RMC Queue,Outcome : Packet Routed to RMC Queue,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,10/28/2020,10,2020,OP2,215,10/28/20 12:49,FOIA_PRIVACYACT,Unsuccessful Processing in VBMS - Packet Offramped
10436439,OFF RAMPED,2471083,OCRSUCCESS,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,10/28/2020,10,2020,OP2,215,10/28/20 5:02,UNKNOWN,Add Document - Document Added
10436847,PROCESSED,2471090,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/28/2020,10,2020,OP2,215,10/28/20 13:06,MEDICAL_EVIDENCE,Process Packet - Packet Processed
10436859,OFF RAMPED,2471133,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10436859 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10436859 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10436859 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,10/28/2020,10,2020,OP2,215,10/28/20 12:59,BVA_APPEALS_REMAND,Unsuccessful Processing in VBMS - Packet Offramped
10436893,OFF RAMPED,2471140,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,10/28/2020,10,2020,OP2,215,10/28/20 13:00,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
