PACKET_NUMBER,PACKET_STATUS,DOC_ID,DOC_STATUS,DOC_TYPE,DOC_TYPE_EM,DOC_TYPE_DESCRIPTION,CONTROL_POINT,EVENT_NOTE,EVENT_NOTE_OUTCOME,INVOICING_STATUS,CHARGEABLE,COMPLEXITY,PROCESSING_DATE,MONTH,YEAR,BILLING_CYCLE,BATCH_ID,LAST_UPDTED_DATE,DOC_CLASSIFICATION_CODE,
21848118,REVIEWED,1899149,HIL_VBMS,EVD-TPC,EVD-TPC,Third Party Correspondence,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/13/2020,9,2020,OP2,188,9/13/20 16:31,UNKNOWN,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile
10102553,OFF RAMPED,1901689,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10102553 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10102553 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10102553 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/13/2020,9,2020,OP2,188,9/13/20 16:44,BVA_APPEALS_REMAND,Unsuccessful Processing in VBMS - Packet Offramped
10104776,OFF RAMPED,1902064,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 10104776 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10104776 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10104776 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/13/2020,9,2020,OP2,188,9/13/20 17:06,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10104928,PROCESSING,1902275,PENDING UPLOAD,EVD-COR,EVD-COR,Correspondence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/13/2020,9,2020,OP2,188,9/13/20 17:11,UNKNOWN,Add VBMS Note - Note Added to VBMS
375360,OFF RAMPED,1902332,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 375360 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 375360 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 375360 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/13/2020,9,2020,OP2,188,9/13/20 17:10,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10106383,PROCESSED,1904347,PROCESSED,820,820,VA 21-0820 Report of General Information,820: Starting contention creation,820: Starting contention creation,820: Starting contention creation,PROCESSED,CHARGEABLE,High,9/13/2020,9,2020,OP2,189,9/14/20 3:44,NULL,Process Packet - Packet Processed
10106300,OFF RAMPED,1904679,OFFRAMPED,820,820,VA 21-0820 Report of General Information,Final Exception Reason: Business Exception 0820 not eligible for automation - No Keyword Identified - Offramping (Attempt# 0) (Attempt #0),Final Exception Reason: Business Exception 0820 not eligible for automation - No Keyword Identified - Offramping (Attempt# 0) (Attempt #0),Final Exception Reason: Business Exception 0820 not eligible for automation - No Keyword Identified - Offramping (Attempt# 0) (Attempt #0),PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,9/14/2020,9,2020,OP2,189,9/14/20 10:35,NULL,Unsuccessful Processing in VBMS - Packet Offramped
10105829,PROCESSED,1903986,PROCESSED,820,820,VA 21-0820 Report of General Information,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,9/13/2020,9,2020,OP2,189,9/14/20 2:33,NULL,Process Packet - Packet Processed
10105228,OFF RAMPED,1901582,OFFRAMPED,EVD-TPROI,Evidence Mail,Third Party Release of Information,"Final Exception Reason: Business Exception No claims open, pending and/or Doc ID deemed RFA Ineligible. (Attempt #0) (Attempt #0)","Final Exception Reason: Business Exception No claims open, pending and/or Doc ID deemed RFA Ineligible. (Attempt #0) (Attempt #0)","Final Exception Reason: Business Exception No claims open, pending and/or Doc ID deemed RFA Ineligible. (Attempt #0) (Attempt #0)",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/13/2020,9,2020,OP2,188,9/13/20 17:18,NULL,Unsuccessful Processing in VBMS - Packet Offramped
10103515,OFF RAMPED,1902718,OFFRAMPED,526ez,526ez,"VA 21-526EZ, Fully Developed Claim Compensation",Outcome : Business Rule - Claim is BDD - Off Ramped,Outcome : Business Rule - Claim is BDD - Off Ramped,Outcome : Business Rule - Claim is BDD - Off Ramped,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,9/14/2020,9,2020,OP2,188,9/14/20 11:28,NULL,Unsuccessful Processing in VBMS - Packet Offramped
21846940,OFF RAMPED,1896341,OFFRAMPED,EVD-21-0538,EVD-21-0538,VA 21-0538 Mandatory Status of Dependents,"Final Exception Reason: BE Form is Incomplete - please check Name, File #, SSN and Signature (Attempt #0)","Final Exception Reason: BE Form is Incomplete - please check Name, File #, SSN and Signature (Attempt #0)","Final Exception Reason: BE Form is Incomplete - please check Name, File #, SSN and Signature (Attempt #0)",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,9/13/2020,9,2020,OP2,188,9/13/20 21:55,NULL,Unsuccessful Processing in VBMS - Packet Offramped
10105948,PROCESSED,1904029,PROCESSED,820,820,VA 21-0820 Report of General Information,820: Starting contention creation,820: Starting contention creation,820: Starting contention creation,PROCESSED,CHARGEABLE,High,9/13/2020,9,2020,OP2,189,9/14/20 2:39,NULL,Process Packet - Packet Processed
10106020,PROCESSED,1904072,PROCESSED,820,820,VA 21-0820 Report of General Information,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,9/13/2020,9,2020,OP2,189,9/14/20 2:43,NULL,Process Packet - Packet Processed
10102716,OFF RAMPED,1903611,OCRSUCCESS,966,966,VA 21-0966 Intent to File,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,Low,9/13/2020,9,2020,OP2,188,9/13/20 15:45,NULL,OCR Process Completed
10105984,PROCESSED,1903943,PROCESSED,820,820,VA 21-0820 Report of General Information,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,9/13/2020,9,2020,OP2,189,9/14/20 2:30,NULL,Process Packet - Packet Processed
10106520,PROCESSED,1904722,PROCESSED,820,820,VA 21-0820 Report of General Information,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,9/14/2020,9,2020,OP2,189,9/14/20 10:42,NULL,Process Packet - Packet Processed
10105850,PROCESSED,1904204,PROCESSED,820,820,VA 21-0820 Report of General Information,820: Starting contention creation,820: Starting contention creation,820: Starting contention creation,PROCESSED,CHARGEABLE,High,9/13/2020,9,2020,OP2,189,9/14/20 2:56,NULL,Process Packet - Packet Processed
10106385,OFF RAMPED,1904590,OFFRAMPED,820,820,VA 21-0820 Report of General Information,Final Exception Reason: Business Exception 0820 not eligible for automation - No Keyword Identified - Offramping (Attempt# 0) (Attempt #0),Final Exception Reason: Business Exception 0820 not eligible for automation - No Keyword Identified - Offramping (Attempt# 0) (Attempt #0),Final Exception Reason: Business Exception 0820 not eligible for automation - No Keyword Identified - Offramping (Attempt# 0) (Attempt #0),PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,9/14/2020,9,2020,OP2,189,9/14/20 10:26,NULL,Unsuccessful Processing in VBMS - Packet Offramped
21847762,PROCESSING,1899306,PENDING UPLOAD,EVD-NLTR  ,Evidence Mail,"Notification Letter e.g. VA 20-8993, VA 21-0290, P  ",Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/13/2020,9,2020,OP2,188,9/13/20 18:12,NULL,Document processed successfully (Attempt# 0)
10106569,OFF RAMPED,1904765,OCRSUCCESS,8416,Evidence Mail,VA 21-8416 Request for Information concerning Medical,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,Low,9/14/2020,9,2020,OP2,189,9/14/20 10:49,NULL,Add Document - Document Added
21848106,REVIEWED,1896243,HIL_VBMS,EVD-TPC,EVD-TPC,Third Party Correspondence,Final Exception Reason: Business Exception The Veteran profile name did not match. (Attempt #2),Final Exception Reason: Business Exception The Veteran profile name did not match. (Attempt #2),Final Exception Reason: Business Exception The Veteran profile name did not match. (Attempt #2),PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/13/2020,9,2020,OP2,188,9/13/20 19:45,UNKNOWN,Perform Record Matching - Name Not Matched via Name Compare Algorithm
21848101,REVIEWED,1899102,HIL_VBMS,EVD-TPC,EVD-TPC,Third Party Correspondence,Final Exception Reason: Business Exception The Veteran profile name did not match. (Attempt #1),Final Exception Reason: Business Exception The Veteran profile name did not match. (Attempt #1),Final Exception Reason: Business Exception The Veteran profile name did not match. (Attempt #1),PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/13/2020,9,2020,OP2,188,9/13/20 16:24,UNKNOWN,Perform Record Matching - Name Not Matched via Name Compare Algorithm
10103135,REVIEWED,1901391,HIL_VBMS,EVD-TPC,EVD-TPC,Third Party Correspondence,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/13/2020,9,2020,OP2,188,9/13/20 16:41,UNKNOWN,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile
10102506,REVIEWED,1902127,HIL_VBMS,EVD-TPC,EVD-TPC,Third Party Correspondence,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/13/2020,9,2020,OP2,188,9/13/20 17:10,STATUS_REQUEST,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile
10104871,PROCESSING,1902497,PENDING UPLOAD,EVD-COR,EVD-COR,Correspondence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/13/2020,9,2020,OP2,188,9/13/20 17:14,MEDICAL_EVIDENCE,Add VBMS Note - Note Added to VBMS
10104605,OFF RAMPED,1902527,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10104605 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10104605 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10104605 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/13/2020,9,2020,OP2,188,9/13/20 17:20,BVA_APPEALS_REMAND,Unsuccessful Processing in VBMS - Packet Offramped
10105259,OFF RAMPED,1902578,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10105259 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10105259 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10105259 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/13/2020,9,2020,OP2,188,9/13/20 17:21,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10105074,OFF RAMPED,1903582,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10105074 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10105074 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10105074 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/13/2020,9,2020,OP2,188,9/13/20 19:48,BVA_APPEALS_REMAND,Unsuccessful Processing in VBMS - Packet Offramped
10105487,OFF RAMPED,1903697,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 10105487 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10105487 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10105487 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/13/2020,9,2020,OP2,189,9/13/20 19:57,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10106550,PROCESSING,1904769,PENDING UPLOAD,EVD-COR,EVD-COR,Correspondence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/14/2020,9,2020,OP2,189,9/14/20 11:14,UNKNOWN,Add VBMS Note - Note Added to VBMS
10106004,OFF RAMPED,1904301,OFFRAMPED,820,820,VA 21-0820 Report of General Information,Final Exception Reason: Business Exception 0820 not eligible for automation - No Keyword Identified - Offramping (Attempt# 0) (Attempt #0),Final Exception Reason: Business Exception 0820 not eligible for automation - No Keyword Identified - Offramping (Attempt# 0) (Attempt #0),Final Exception Reason: Business Exception 0820 not eligible for automation - No Keyword Identified - Offramping (Attempt# 0) (Attempt #0),PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,9/13/2020,9,2020,OP2,189,9/14/20 3:07,NULL,Unsuccessful Processing in VBMS - Packet Offramped
10105860,PROCESSED,1904284,PROCESSED,820,820,VA 21-0820 Report of General Information,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,9/13/2020,9,2020,OP2,189,9/14/20 3:05,NULL,Process Packet - Packet Processed
10106174,PROCESSED,1904433,PROCESSED,820,820,VA 21-0820 Report of General Information,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,9/13/2020,9,2020,OP2,189,9/14/20 3:51,NULL,Process Packet - Packet Processed
10106341,PROCESSED,1904633,PROCESSED,820,820,VA 21-0820 Report of General Information,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,9/13/2020,9,2020,OP2,189,9/14/20 10:33,NULL,Process Packet - Packet Processed
21267502,OFF RAMPED,863313,OCRSUCCESS,674,674,VA 21-674 Report of School Attendance,Classification Needed,Classification Needed,Classification Needed,SYSTEM OFFRAMP,NOT CHARGEABLE,Low,9/13/2020,9,2020,OP2,159,9/13/20 15:02,NULL,Classification Needed
10105717,PROCESSED,1904101,PROCESSED,820,820,VA 21-0820 Report of General Information,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,9/13/2020,9,2020,OP2,189,9/14/20 2:45,NULL,Process Packet - Packet Processed
10106281,PROCESSED,1904599,PROCESSED,820,820,VA 21-0820 Report of General Information,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,9/13/2020,9,2020,OP2,189,9/14/20 10:31,NULL,Process Packet - Packet Processed
10106032,PROCESSED,1904450,PROCESSED,820,820,VA 21-0820 Report of General Information,820: Starting contention creation,820: Starting contention creation,820: Starting contention creation,PROCESSED,CHARGEABLE,High,9/13/2020,9,2020,OP2,189,9/14/20 3:54,NULL,Process Packet - Packet Processed
10106351,OFF RAMPED,1904650,OFFRAMPED,820,820,VA 21-0820 Report of General Information,Final Exception Reason: Business Exception 0820 not eligible for automation - No Keyword Identified - Offramping (Attempt# 0) (Attempt #0),Final Exception Reason: Business Exception 0820 not eligible for automation - No Keyword Identified - Offramping (Attempt# 0) (Attempt #0),Final Exception Reason: Business Exception 0820 not eligible for automation - No Keyword Identified - Offramping (Attempt# 0) (Attempt #0),PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,9/14/2020,9,2020,OP2,189,9/14/20 10:32,NULL,Unsuccessful Processing in VBMS - Packet Offramped
21847950,OFF RAMPED,1897043,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 21847950 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21847950 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21847950 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/13/2020,9,2020,OP2,188,9/13/20 16:12,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
21848073,OFF RAMPED,1897200,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 21848073 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21848073 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21848073 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/13/2020,9,2020,OP2,188,9/13/20 16:13,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
