PACKET_NUMBER,PACKET_STATUS,DOC_ID,DOC_STATUS,DOC_TYPE,DOC_TYPE_EM,DOC_TYPE_DESCRIPTION,CONTROL_POINT,EVENT_NOTE,EVENT_NOTE_OUTCOME,INVOICING_STATUS,CHARGEABLE,COMPLEXITY,PROCESSING_DATE,MONTH,YEAR,BILLING_CYCLE,BATCH_ID,LAST_UPDTED_DATE,DOC_CLASSIFICATION_CODE,
377138,OFF RAMPED,1916674,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 377138 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 377138 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 377138 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/15/2020,9,2020,OP2,189,9/15/20 19:00,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10112706,OFF RAMPED,1918045,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10112706 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10112706 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10112706 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/15/2020,9,2020,OP2,189,9/15/20 13:31,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10113871,Processing,1918646,VBOTPROCESSING,EVD-TPC,EVD-TPC,Third Party Correspondence,HIL Packet Reassigned to Assignment Queue MA-1,HIL Packet Reassigned to Assignment Queue MA-1,HIL Packet Reassigned to Assignment Queue MA-1,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/15/2020,9,2020,OP2,189,9/16/20 11:37,VERIFICATION_REQUEST,"Values Captured for Find Profile Number (File Number(MP): 582184855, File Number(OCR): , SSN(MP): , SSN(OCR): )"
10113952,OFF RAMPED,1918981,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10113952 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10113952 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10113952 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/15/2020,9,2020,OP2,189,9/15/20 10:37,BVA_APPEALS_REMAND,Unsuccessful Processing in VBMS - Packet Offramped
10113836,OFF RAMPED,1919232,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10113836 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10113836 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10113836 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/15/2020,9,2020,OP2,189,9/15/20 10:49,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10115611,PROCESSING,1919732,PENDING UPLOAD,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/15/2020,9,2020,OP2,189,9/15/20 11:10,UNKNOWN,Add VBMS Note - Note Added to VBMS
10114363,OFF RAMPED,1919868,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10114363 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10114363 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10114363 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/15/2020,9,2020,OP2,189,9/15/20 11:19,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10114623,OFF RAMPED,1919918,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10114623 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10114623 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10114623 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/15/2020,9,2020,OP2,189,9/15/20 11:18,BVA_APPEALS_REMAND,Unsuccessful Processing in VBMS - Packet Offramped
10114688,OFF RAMPED,1920117,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 10114688 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10114688 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10114688 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/15/2020,9,2020,OP2,189,9/15/20 11:39,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10115825,OFF RAMPED,1920118,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 10115825 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10115825 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10115825 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/15/2020,9,2020,OP2,189,9/15/20 11:39,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10115668,PROCESSING,1920303,PENDING UPLOAD,EVD-COR,EVD-COR,Correspondence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/15/2020,9,2020,OP2,189,9/15/20 11:50,UNKNOWN,Add VBMS Note - Note Added to VBMS
10115668,PROCESSING,1920304,PENDING UPLOAD,EVD-COR,EVD-COR,Correspondence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/15/2020,9,2020,OP2,189,9/15/20 11:51,UNKNOWN,Add VBMS Note - Note Added to VBMS
10116301,OFF RAMPED,1920418,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10116301 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10116301 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10116301 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/15/2020,9,2020,OP2,189,9/15/20 11:57,BVA_APPEALS_REMAND,Unsuccessful Processing in VBMS - Packet Offramped
